Folder Mode ResultCount CacheHits Time1 Time2 Time3 TimeAvg
0        001      48           0          0m1.705s   0m1.713s   0m2.063s   0m1.827s
1        001      48           0          0m4.206s   0m1.854s   0m1.947s   0m2.669s
2        003      414          0          0m1.841s   0m1.149s   0m0.818s   0m1.269s
3        003      5378         5355       0m0.941s   0m0.999s   0m0.870s   0m0.937s
4        004      52           0          0m0.566s   0m0.410s   0m0.402s   0m0.459s
5        004      52           0          0m0.460s   0m0.484s   0m0.523s   0m0.489s
6        005      4            0          0m0.412s   0m0.387s   0m0.398s   0m0.399s
7        005      6            2          0m0.358s   0m0.307s   0m0.386s   0m0.350s
8        006      4            0          0m0.436s   0m0.412s   0m0.333s   0m0.394s
9        006      4            0          0m0.346s   0m0.385s   0m0.317s   0m0.349s
10       007      8            0          0m0.382s   0m0.392s   0m0.375s   0m0.383s
11       007      8            0          0m0.301s   0m0.334s   0m0.387s   0m0.341s
12       008      28           0          0m0.469s   0m0.479s   0m0.433s   0m0.460s
13       008      28           0          0m0.385s   0m0.448s   0m0.386s   0m0.406s
14       009      4            0          0m0.422s   0m0.386s   0m0.364s   0m0.391s
15       009      6            2          0m0.355s   0m0.310s   0m0.332s   0m0.332s
16       010      188          0          0m1.076s   0m0.738s   0m0.585s   0m0.800s
17       010      1383         1381       0m0.533s   0m0.548s   0m0.534s   0m0.538s
18       011      33           0          0m0.541s   0m0.417s   0m0.361s   0m0.440s
19       011      33           0          0m0.392s   0m0.436s   0m0.433s   0m0.420s
20       012      260          0          0m1.489s   0m1.211s   0m1.191s   0m1.297s
21       012      810          732        0m1.222s   0m1.183s   0m1.276s   0m1.227s
22       013      137          0          0m0.663s   0m0.655s   0m0.593s   0m0.637s
23       013      986          984        0m0.529s   0m0.582s   0m0.518s   0m0.543s
26       015      10934        0          33m2.590s  31m3.443s  51m9.731s  38m25.255s
27       015      32794        21867      47m2.555s  47m33.909s 48m21.728s 47m39.397s
28       016      53           0          0m0.490s   0m0.517s   0m2.408s   0m1.138s
29       016      53           17         0m0.438s   0m0.480s   0m0.388s   0m0.435s
30       017      38           0          0m0.437s   0m0.443s   0m0.451s   0m0.444s
31       017      38           5          0m0.415s   0m0.471s   0m0.385s   0m0.424s
32       018      370          0          0m1.377s   0m0.987s   0m1.022s   0m1.129s
33       018      3267         3265       0m0.717s   0m0.997s   0m0.808s   0m0.841s
34       019      160          0          0m0.802s   0m0.622s   0m0.538s   0m0.654s
35       019      1170         1168       0m0.535s   0m0.598s   0m0.513s   0m0.549s
36       020      99142        0          37m57.913s 16m38.762s 19m49.103s 24m48.593s
37       020      99142        0          16m50.714s 16m29.502s 17m44.515s 17m1.577s
38       021      307          0          0m1.595s   0m1.089s   0m0.861s   0m1.182s
39       021      2594         2592       0m0.809s   0m0.707s   0m0.799s   0m0.772s
40       022      41           0          0m0.625s   0m0.495s   0m0.452s   0m0.524s
41       022      41           6          0m0.376s   0m0.465s   0m0.437s   0m0.426s
42       023      94           0          0m0.666s   0m0.505s   0m0.464s   0m0.545s
43       023      327          310        0m0.478s   0m0.498s   0m0.403s   0m0.460s
44       024      7            0          0m0.438s   0m0.346s   0m0.311s   0m0.365s
45       024      13           11         0m0.345s   0m0.374s   0m0.351s   0m0.357s
48       026      5            0          0m6.576s   0m6.722s   0m4.633s   0m5.977s
49       026      5            0          0m4.473s   0m4.513s   0m4.375s   0m4.454s
50       027      105          0          0m0.562s   0m0.597s   0m0.602s   0m0.587s
51       027      105          25         0m0.540s   0m0.623s   0m0.526s   0m0.563s
52       028      843          0          0m2.639s   0m2.224s   0m1.524s   0m2.129s
53       028      9419         9417       0m1.427s   0m1.424s   0m1.386s   0m1.412s
54       029      13           0          0m0.433s   0m0.429s   0m0.481s   0m0.448s
55       029      13           0          0m0.402s   0m0.437s   0m0.381s   0m0.407s
56       030      6655         0          23m46.401s 22m33.041s 37m24.368s 27m54.603s
57       030      6654         0          36m18.866s 36m34.607s 36m28.655s 36m27.376s
58       031      44942        0          20m42.121s 9m36.294s  19m29.664s 16m36.026s
59       031      395746       395097     9m18.096s  9m13.488s  9m31.559s  9m21.048s
60       032      5            0          0m0.436s   0m0.421s   0m0.434s   0m0.430s
61       032      9            5          0m0.368s   0m0.382s   0m0.371s   0m0.374s
62       033      157          0          0m0.842s   0m0.799s   0m1.175s   0m0.939s
63       033      1132         1130       0m0.496s   0m0.579s   0m0.638s   0m0.571s
64       034      74           0          0m0.757s   0m0.506s   0m0.895s   0m0.719s
65       034      453          451        0m0.431s   0m0.492s   0m0.526s   0m0.483s
66       035      13           0          0m0.475s   0m0.511s   0m0.447s   0m0.478s
67       035      20           9          0m0.340s   0m0.444s   0m0.418s   0m0.401s
68       036      50           0          0m0.552s   0m0.606s   0m0.759s   0m0.639s
69       036      50           0          0m0.474s   0m0.480s   0m0.610s   0m0.521s
70       038      6            0          0m13.308s  0m7.349s   0m16.246s  0m12.301s
71       038      6            0          0m7.589s   0m6.280s   0m6.826s   0m6.898s
72       039      3            0          0m2.408s   0m2.404s   0m2.900s   0m2.571s
73       039      3            0          0m2.557s   0m2.500s   0m2.498s   0m2.518s
74       040      6            0          0m0.338s   0m0.415s   0m0.462s   0m0.405s
75       040      6            0          0m0.390s   0m0.393s   0m0.317s   0m0.367s
76       041      204          0          0m1.061s   0m0.819s   0m1.013s   0m0.964s
77       041      1565         1563       0m0.642s   0m0.563s   0m0.521s   0m0.575s
78       042      30           0          0m0.482s   0m0.425s   0m0.602s   0m0.503s
79       042      30           0          0m0.359s   0m0.356s   0m0.473s   0m0.396s
80       043      350          0          0m1.615s   0m0.883s   0m1.664s   0m1.387s
81       043      3093         3091       0m0.955s   0m0.773s   0m0.834s   0m0.854s
82       044      24942        0          10m21.166s 4m52.259s  10m28.392s 8m33.939s
83       044      149018       146692     4m20.044s  4m17.630s  4m24.221s  4m20.632s
84       045      19           0          0m0.594s   0m0.469s   0m0.656s   0m0.573s
85       045      21           4          0m0.411s   0m0.506s   0m0.496s   0m0.471s
86       046      5            0          0m8.073s   0m8.008s   0m4.458s   0m6.846s
87       046      5            0          0m4.234s   0m4.380s   0m4.215s   0m4.276s
88       047      2            0          0m0.364s   0m0.375s   0m0.309s   0m0.349s
89       047      2            0          0m0.362s   0m0.371s   0m0.386s   0m0.373s
90       048      29           0          0m0.518s   0m0.399s   0m0.703s   0m0.540s
91       048      29           2          0m0.432s   0m0.433s   0m0.467s   0m0.444s
92       049      2            0          0m0.376s   0m0.307s   0m0.373s   0m0.352s
93       049      2            0          0m0.274s   0m0.377s   0m0.309s   0m0.320s
94       050      103          0          0m0.595s   0m0.519s   0m0.948s   0m0.687s
