    Folder       Mode  Result Count  Cache Hits   Real Time
0      001    NoCache            48           0    0m1.713s
1      001  NormCache            48           0    0m1.854s
2      003    NoCache           414           0    0m1.149s
3      003  NormCache           414           0    0m0.999s
4      004    NoCache            52           0    0m0.410s
5      004  NormCache            52           0    0m0.484s
6      005    NoCache             4           0    0m0.387s
7      005  NormCache             4           0    0m0.307s
8      006    NoCache             4           0    0m0.412s
9      006  NormCache             4           0    0m0.385s
10     007    NoCache             8           0    0m0.392s
11     007  NormCache             8           0    0m0.334s
12     008    NoCache            28           0    0m0.479s
13     008  NormCache            28           0    0m0.448s
14     009    NoCache             4           0    0m0.386s
15     009  NormCache             4           0    0m0.310s
16     010    NoCache           188           0    0m0.738s
17     010  NormCache           188           0    0m0.548s
18     011    NoCache            33           0    0m0.417s
19     011  NormCache            33           0    0m0.436s
20     012    NoCache           260           0    0m1.211s
21     012  NormCache           260           0    0m1.183s
22     013    NoCache           137           0    0m0.655s
23     013  NormCache           137           0    0m0.582s
24     015    NoCache         10934           0   31m3.443s
25     015  NormCache         10934           0  47m33.909s
26     016    NoCache            53           0    0m0.517s
27     016  NormCache            53           0    0m0.480s
28     017    NoCache            38           0    0m0.443s
29     017  NormCache            38           0    0m0.471s
30     018    NoCache           370           0    0m0.987s
31     018  NormCache           370           0    0m0.997s
32     019    NoCache           160           0    0m0.622s
33     019  NormCache           160           0    0m0.598s
34     020    NoCache         99142           0  16m38.762s
35     020  NormCache         99142           0  16m29.502s
36     021    NoCache           307           0    0m1.089s
37     021  NormCache           307           0    0m0.707s
38     022    NoCache            41           0    0m0.495s
39     022  NormCache            41           0    0m0.465s
40     023    NoCache            94           0    0m0.505s
41     023  NormCache            94           0    0m0.498s
42     024    NoCache             7           0    0m0.346s
43     024  NormCache             7           0    0m0.374s
44     026    NoCache             5           0    0m6.722s
45     026  NormCache             5           0    0m4.513s
46     027    NoCache           105           0    0m0.597s
47     027  NormCache           105           0    0m0.623s
48     028    NoCache           843           0    0m2.224s
49     028  NormCache           843           0    0m1.424s
50     029    NoCache            13           0    0m0.429s
51     029  NormCache            13           0    0m0.437s
52     030    NoCache          6655           0  22m33.041s
53     030  NormCache          6655           0  36m34.607s
54     031    NoCache         44942           0   9m36.294s
55     031  NormCache         44942           0   9m13.488s
56     032    NoCache             5           0    0m0.421s
57     032  NormCache             5           0    0m0.382s
58     033    NoCache           157           0    0m0.799s
59     033  NormCache           157           0    0m0.579s
60     034    NoCache            74           0    0m0.506s
61     034  NormCache            74           0    0m0.492s
62     035    NoCache            13           0    0m0.511s
63     035  NormCache            13           0    0m0.444s
64     036    NoCache            50           0    0m0.606s
65     036  NormCache            50           0    0m0.480s
66     038    NoCache             6           0    0m7.349s
67     038  NormCache             6           0    0m6.280s
68     039    NoCache             3           0    0m2.404s
69     039  NormCache             3           0    0m2.500s
70     040    NoCache             6           0    0m0.415s
71     040  NormCache             6           0    0m0.393s
72     041    NoCache           204           0    0m0.819s
73     041  NormCache           204           0    0m0.563s
74     042    NoCache            30           0    0m0.425s
75     042  NormCache            30           0    0m0.356s
76     043    NoCache           350           0    0m0.883s
77     043  NormCache           350           0    0m0.773s
78     044    NoCache         24942           0   4m52.259s
79     044  NormCache         24942           0   4m17.630s
80     045    NoCache            19           0    0m0.469s
81     045  NormCache            19           0    0m0.506s
82     046    NoCache             5           0    0m8.008s
83     046  NormCache             5           0    0m4.380s
84     047    NoCache             2           0    0m0.375s
85     047  NormCache             2           0    0m0.371s
86     048    NoCache            29           0    0m0.399s
87     048  NormCache            29           0    0m0.433s
88     049    NoCache             2           0    0m0.307s
89     049  NormCache             2           0    0m0.377s
90     050    NoCache           103           0    0m0.519s
91     050  NormCache           103           0    0m0.506s
92     051    NoCache            27           0    0m1.106s
93     051  NormCache            27           0    0m1.640s
94     052    NoCache           156           0    0m0.673s
95     052  NormCache           156           0    0m0.576s
96     053    NoCache            11           0    0m0.331s
97     053  NormCache            11           0    0m0.326s
98     054    NoCache             6           0    0m0.366s
99     054  NormCache             6           0    0m0.395s
100    055    NoCache            36           0    0m0.463s
101    055  NormCache            36           0    0m0.560s
102    056    NoCache             4           0    0m1.604s
103    056  NormCache             4           0    0m1.559s
104    057    NoCache            43           0    0m0.472s
105    057  NormCache            43           0    0m0.392s
106    058    NoCache             6           0    0m0.432s
107    058  NormCache             6           0    0m0.402s
108    059    NoCache             5           0    0m7.834s
109    059  NormCache             5           0    0m4.686s
110    060    NoCache             7           0    0m0.377s
111    060  NormCache             7           0    0m0.374s
112    061    NoCache           155           0    0m0.690s
113    061  NormCache           155           0    0m0.616s
114    062    NoCache           139           0    0m0.574s
115    062  NormCache           139           0    0m0.661s
116    063    NoCache           440           0    0m1.232s
117    063  NormCache           440           0    0m0.972s
118    064    NoCache           598           0    0m1.669s
119    064  NormCache           598           0    0m1.220s
120    065    NoCache           562           0    0m1.730s
121    065  NormCache           562           0    0m0.980s
122    066    NoCache            12           0    0m0.401s
123    066  NormCache            12           0    0m0.402s
124    067    NoCache            12           0    0m0.325s
125    067  NormCache            12           0    0m0.430s
126    068    NoCache         10420           0  28m49.346s
127    068  NormCache         10420           0  42m59.068s
128    069    NoCache           462           0    0m1.459s
